,game_date,player_name,pitcher
505,2016,"Samardzija, Jeff",502188
506,2020,"Lyles, Jordan",543475
507,2018,"Roark, Tanner",543699
508,2018,"Strasburg, Stephen",544931
509,2014,"Buchholz, Clay",453329
510,2018,"Scherzer, Max",453286
511,2014,"Bailey, Homer",456701
512,2017,"Cole, Gerrit",543037
513,2015,"Lackey, John",407793
514,2018,"Syndergaard, Noah",592789
515,2014,"Strasburg, Stephen",544931
516,2017,"Verlander, Justin",434378
517,2017,"Chatwood, Tyler",543022
518,2017,"Lugo, Seth",607625
519,2014,"Hudson, Tim",218596
520,2019,"Porcello, Rick",519144
521,2020,"Mills, Alec",621219
522,2015,"Dickey, R.A.",285079
523,2017,"Severino, Luis",622663
524,2017,"Severino, Luis",622663
525,2017,"Ross, Joe",605452
526,2016,"Scherzer, Max",453286
527,2016,"Salazar, Danny",517593
528,2014,"Nolasco, Ricky",445060
529,2014,"Sánchez, Aníbal",434671
530,2019,"Samardzija, Jeff",502188
531,2017,"Roark, Tanner",543699
532,2016,"Fernández, José",605228
533,2015,"Cole, Gerrit",543037
534,2019,"Bieber, Shane",669456
535,2020,"Lynn, Lance",458681
536,2018,"Clevinger, Mike",605182
537,2018,"Clevinger, Mike",605182
538,2017,"Samardzija, Jeff",502188
539,2018,"Gausman, Kevin",592332
540,2016,"Porcello, Rick",519144
541,2015,"Tanaka, Masahiro",547888
542,2018,"Martínez, Carlos",593372
543,2018,"Keller, Brad",641745
544,2017,"Carrasco, Carlos",471911
545,2014,"Wheeler, Zack",554430
546,2014,"Zimmermann, Jordan",519455
547,2015,"Cueto, Johnny",456501
548,2016,"Pineda, Michael",501381
549,2015,"Teheran, Julio",527054
550,2017,"Guerra, Junior",448855
551,2018,"Bibens-Dirkx, Austin",502212
552,2019,"deGrom, Jacob",594798
553,2014,"Lynn, Lance",458681
554,2015,"González, Severino",605894
555,2014,"Lincecum, Tim",453311
556,2015,"Johnson, Erik",605304
557,2015,"Scherzer, Max",453286
558,2015,"Verlander, Justin",434378
559,2015,"Verlander, Justin",434378
560,2016,"Strasburg, Stephen",544931
561,2016,"Archer, Chris",502042
562,2019,"Samardzija, Jeff",502188
563,2021,"Nola, Aaron",605400
564,2014,"Porcello, Rick",519144
565,2017,"Williams, Trevor",592866
566,2014,"Gallardo, Yovani",451596
567,2014,"Lynn, Lance",458681
568,2017,"Chatwood, Tyler",543022
569,2019,"deGrom, Jacob",594798
570,2014,"Verlander, Justin",434378
571,2019,"Verlander, Justin",434378
572,2014,"Fernández, José",605228
573,2014,"deGrom, Jacob",594798
574,2016,"Bettis, Chad",518452
575,2015,"Gibson, Kyle",502043
576,2016,"Bassitt, Chris",605135
577,2014,"Jackson, Edwin",429719
578,2017,"Samardzija, Jeff",502188
579,2014,"Lynn, Lance",458681
580,2014,"Verlander, Justin",434378
